ex_factory_vials,shipment_date,valid_order,wholesaler_name_2,wholesaler_name,week_end_date,month_year,quarter_year,year,is_business_day,unit_price,discount,gross_sales,net_sales
8,2022-09-08,1,DOTHAN D AND S                     ,CENCORA,2022-09-09,2022-09,2022-Q3,2022,1,6785,0.15,54280,46138
2,2022-09-12,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-09-16,2022-09,2022-Q3,2022,1,6785,0.15,13570,11534.5
10,2022-09-13,0,PANTHERRX RARE                     ,PANTHERRX,2022-09-16,2022-09,2022-Q3,2022,1,6649.3,0.15,66493,56519.05
10,2022-09-13,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-09-16,2022-09,2022-Q3,2022,1,6785,0.15,67850,57672.5
20,2022-09-15,1,DOTHAN D AND S                     ,CENCORA,2022-09-16,2022-09,2022-Q3,2022,1,6785,0.15,135700,115345
20,2022-09-15,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-09-16,2022-09,2022-Q3,2022,1,6785,0.15,135700,115345
16,2022-09-19,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-09-23,2022-09,2022-Q3,2022,1,6785,0.15,108560,92276
9,2022-09-19,1,McKesson Specialty Care DC         ,MSH,2022-09-23,2022-09,2022-Q3,2022,1,6785,0.15,61065,51905.25
50,2022-09-22,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-09-23,2022-09,2022-Q3,2022,1,6785,0.15,339250,288362.5
14,2022-09-22,1,DOTHAN D AND S                     ,CENCORA,2022-09-23,2022-09,2022-Q3,2022,1,6785,0.15,94990,80741.5
3,2022-09-26,1,McKesson Specialty Care DC         ,MSH,2022-09-30,2022-09,2022-Q3,2022,1,6785,0.15,20355,17301.75
-11,2022-09-27,0,PANTHERRX RARE                     ,PANTHERRX,2022-09-30,2022-09,2022-Q3,2022,1,6649.3,0.15,-73142.3,-62170.955
6,2022-09-29,1,DOTHAN D AND S                     ,CENCORA,2022-09-30,2022-09,2022-Q3,2022,1,6785,0.15,40710,34603.5
21,2022-10-03,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-10-07,2022-10,2022-Q4,2022,1,6785,0.15,142485,121112.25
39,2022-10-03,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-10-07,2022-10,2022-Q4,2022,1,6785,0.15,264615,224922.75
16,2022-10-06,1,DOTHAN D AND S                     ,CENCORA,2022-10-07,2022-10,2022-Q4,2022,1,6785,0.15,108560,92276
13,2022-10-10,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-10-14,2022-10,2022-Q4,2022,1,6785,0.15,88205,74974.25
50,2022-10-10,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-10-14,2022-10,2022-Q4,2022,1,6785,0.15,339250,288362.5
14,2022-10-13,1,DOTHAN D AND S                     ,CENCORA,2022-10-14,2022-10,2022-Q4,2022,1,6785,0.15,94990,80741.5
13,2022-10-13,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-10-14,2022-10,2022-Q4,2022,1,6785,0.15,88205,74974.25
7,2022-10-13,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-10-14,2022-10,2022-Q4,2022,1,6785,0.15,47495,40370.75
12,2022-10-13,1,McKesson Specialty Care DC         ,MSH,2022-10-14,2022-10,2022-Q4,2022,1,6785,0.15,81420,69207
6,2022-10-17,0,DOTHAN D AND S                     ,CENCORA,2022-10-21,2022-10,2022-Q4,2022,1,6785,0.15,40710,34603.5
32,2022-10-17,0,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-10-21,2022-10,2022-Q4,2022,1,6785,0.15,217120,184552
5,2022-10-17,0,PANTHERRX RARE                     ,PANTHERRX,2022-10-21,2022-10,2022-Q4,2022,1,6649.3,0.15,33246.5,28259.525
6,2022-10-17,0,PANTHERRX RARE                     ,PANTHERRX,2022-10-21,2022-10,2022-Q4,2022,1,6649.3,0.15,39895.8,33911.43
7,2022-10-17,0,PANTHERRX RARE                     ,PANTHERRX,2022-10-21,2022-10,2022-Q4,2022,1,6649.3,0.15,46545.1,39563.335
60,2022-10-17,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-10-21,2022-10,2022-Q4,2022,1,6785,0.15,407100,346035
10,2022-10-20,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-10-21,2022-10,2022-Q4,2022,1,6785,0.15,67850,57672.5
6,2022-10-20,1,DOTHAN D AND S                     ,CENCORA,2022-10-21,2022-10,2022-Q4,2022,1,6785,0.15,40710,34603.5
6,2022-10-24,0,SONEXUS,SONEXUS,2022-10-28,2022-10,2022-Q4,2022,1,6785,0.15,40710,34603.5
4,2022-10-27,1,ASD HEALTHCARE-BROOKS              ,CENCORA,2022-10-28,2022-10,2022-Q4,2022,1,6785,0.15,27140,23069
9,2022-10-27,1,DOTHAN D AND S                     ,CENCORA,2022-10-28,2022-10,2022-Q4,2022,1,6785,0.15,61065,51905.25
-21,2022-10-28,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-10-28,2022-10,2022-Q4,2022,1,6785,0.15,-142485,-121112.25
21,2022-10-28,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-10-28,2022-10,2022-Q4,2022,1,6785,0.15,142485,121112.25
-39,2022-10-28,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-10-28,2022-10,2022-Q4,2022,1,6785,0.15,-264615,-224922.75
39,2022-10-28,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-10-28,2022-10,2022-Q4,2022,1,6785,0.15,264615,224922.75
-50,2022-10-28,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-10-28,2022-10,2022-Q4,2022,1,6785,0.15,-339250,-288362.5
50,2022-10-28,1,MCKESSON PLASMA AND BIOLOGICS      ,MPB,2022-10-28,2022-10,2022-Q4,2022,1,6785,0.15,339250,288362.5
-7,2022-10-28,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-10-28,2022-10,2022-Q4,2022,1,6785,0.15,-47495,-40370.75
7,2022-10-28,1,MCKESSON SPECIALTY CARE DIST       ,MSH,2022-10-28,2022-10,2022-Q4,2022,1,6785,0.15,47495,40370.75
-12,2022-10-28,1,McKesson Specialty Care DC         ,MSH,2022-10-28,2022-10,2022-Q4,2022,1,6785,0.15,-81420,-69207
